,Model,Prediction_Time,Size
0,AdaBoost,0.010044574737548828,50571
1,AdaBoost,0.012718677520751953,82030
2,AdaBoost,0.012520313262939453,82030
3,AdaBoost,0.007173776626586914,50571
4,AdaBoost,0.002695322036743164,20533
5,AdaBoost,0.002832174301147461,20533
6,AdaBoost,0.012542009353637695,82030
7,AdaBoost,0.007326602935791016,50571
8,AdaBoost,0.017315149307250977,113480
9,AdaBoost,0.012721061706542969,82030
10,AdaBoost,0.003383159637451172,20533
11,AdaBoost,0.002727508544921875,20533
12,AdaBoost,0.007314205169677734,50571
13,AdaBoost,0.016982078552246094,113480
14,AdaBoost,0.01680612564086914,113480
15,AdaBoost,0.007298707962036133,50571
16,AdaBoost,0.004209756851196289,20533
17,AdaBoost,0.0031538009643554688,20533
18,AdaBoost,0.022322893142700195,144939
19,AdaBoost,0.012852907180786133,82030
20,AdaBoost,0.021495342254638672,144939
21,AdaBoost,0.007831335067749023,50571
22,AdaBoost,0.003143310546875,20533
23,AdaBoost,0.004090547561645508,20533
24,Decision Tree,0.002769947052001953,19667
25,Decision Tree,0.0030655860900878906,19664
26,Decision Tree,0.0025730133056640625,19808
27,Decision Tree,0.002649068832397461,19520
28,Decision Tree,0.0026221275329589844,19229
29,Decision Tree,0.0030188560485839844,19229
30,Decision Tree,0.003782987594604492,19523
31,Decision Tree,0.0026845932006835938,19808
32,Decision Tree,0.0037267208099365234,19811
33,Decision Tree,0.002538442611694336,19523
34,Decision Tree,0.0030031204223632812,19229
35,Decision Tree,0.0025475025177001953,19229
36,Decision Tree,0.003754138946533203,19811
37,Decision Tree,0.002624034881591797,20096
38,Decision Tree,0.0029687881469726562,19955
39,Decision Tree,0.002971649169921875,19523
40,Decision Tree,0.0025823116302490234,19229
41,Decision Tree,0.0030791759490966797,19229
42,Decision Tree,0.002536773681640625,19952
43,Decision Tree,0.0026092529296875,19523
44,Decision Tree,0.002581357955932617,19811
45,Decision Tree,0.007166624069213867,19664
46,Decision Tree,0.0025687217712402344,19229
47,Decision Tree,0.0025606155395507812,19229
48,Gaussian Naive Bayes,0.002727985382080078,31227
49,Gaussian Naive Bayes,0.0025663375854492188,31227
50,Gaussian Naive Bayes,0.0026519298553466797,31227
51,Gaussian Naive Bayes,0.002674579620361328,31227
52,Gaussian Naive Bayes,0.002667665481567383,31227
53,Gaussian Naive Bayes,0.003741025924682617,31227
54,Gaussian Naive Bayes,0.0027611255645751953,31227
55,Gaussian Naive Bayes,0.0029799938201904297,31227
56,Gaussian Naive Bayes,0.004422664642333984,31227
57,Gaussian Naive Bayes,0.0027022361755371094,31227
58,Gaussian Naive Bayes,0.002629518508911133,31227
59,Gaussian Naive Bayes,0.011495590209960938,31227
60,Gaussian Naive Bayes,0.0028166770935058594,31227
61,Gaussian Naive Bayes,0.0030999183654785156,31227
62,Gaussian Naive Bayes,0.0029990673065185547,31227
63,Gaussian Naive Bayes,0.0040590763092041016,31227
64,Gaussian Naive Bayes,0.003929615020751953,31227
65,Gaussian Naive Bayes,0.0026946067810058594,31227
66,Gaussian Naive Bayes,0.002725839614868164,31227
67,Gaussian Naive Bayes,0.002764463424682617,31227
68,Gaussian Naive Bayes,0.002701282501220703,31227
69,Gaussian Naive Bayes,0.002963542938232422,31227
70,Gaussian Naive Bayes,0.0031173229217529297,31227
71,Gaussian Naive Bayes,0.0028002262115478516,31227
72,Nearest Neighbors,0.005619525909423828,155833
73,Nearest Neighbors,0.0050737857818603516,155832
74,Nearest Neighbors,0.0062961578369140625,155832
75,Nearest Neighbors,0.02288222312927246,155832
76,Nearest Neighbors,0.005251646041870117,155833
77,Nearest Neighbors,0.006170034408569336,155833
78,Nearest Neighbors,0.006683349609375,187753
79,Nearest Neighbors,0.005544185638427734,187752
80,Nearest Neighbors,0.014363288879394531,187753
81,Nearest Neighbors,0.005683422088623047,187752
82,Nearest Neighbors,0.014992952346801758,187752
83,Nearest Neighbors,0.00493311882019043,187752
84,Nearest Neighbors,0.005831003189086914,248401
85,Nearest Neighbors,0.019949674606323242,248400
86,Nearest Neighbors,0.004401683807373047,248401
87,Nearest Neighbors,0.0059893131256103516,248400
88,Nearest Neighbors,0.007160186767578125,248400
89,Nearest Neighbors,0.0052032470703125,248400
90,Nearest Neighbors,0.007318019866943359,363312
91,Nearest Neighbors,0.0058934688568115234,363312
92,Nearest Neighbors,0.005899190902709961,363312
93,Nearest Neighbors,0.012119770050048828,363312
94,Nearest Neighbors,0.007403135299682617,363312
95,Nearest Neighbors,0.012082338333129883,363312
96,Neural Network,0.003320455551147461,342775
97,Neural Network,0.0026755332946777344,1303650
98,Neural Network,0.0027043819427490234,1303299
99,Neural Network,0.0034008026123046875,1944446
100,Neural Network,0.003434896469116211,503820
101,Neural Network,0.0035440921783447266,347324
102,Neural Network,0.0036869049072265625,343174
103,Neural Network,0.003503084182739258,663624
104,Neural Network,0.0036725997924804688,1303225
105,Neural Network,0.0039215087890625,347324
106,Neural Network,0.00373077392578125,1943021
107,Neural Network,0.0029594898223876953,347324
108,Neural Network,0.0033540725708007812,1303450
109,Neural Network,0.0031228065490722656,987496
110,Neural Network,0.002785205841064453,1303625
111,Neural Network,0.002676725387573242,667325
112,Neural Network,0.002804279327392578,662924
113,Neural Network,0.0033850669860839844,1943420
114,Neural Network,0.0031800270080566406,1307325
115,Neural Network,0.0035982131958007812,982971
116,Neural Network,0.0032396316528320312,507496
117,Neural Network,0.0036859512329101562,1947496
118,Neural Network,0.0036749839782714844,1943945
119,Neural Network,0.003240823745727539,983671
120,Quadratic Discriminant Analysis,0.004144191741943359,162216
121,Quadratic Discriminant Analysis,0.0028400421142578125,162216
122,Quadratic Discriminant Analysis,0.008001327514648438,162216
123,Quadratic Discriminant Analysis,0.0033464431762695312,162216
124,Quadratic Discriminant Analysis,0.004105329513549805,162216
125,Quadratic Discriminant Analysis,0.0027971267700195312,162216
126,Quadratic Discriminant Analysis,0.004159688949584961,194139
127,Quadratic Discriminant Analysis,0.003901243209838867,194139
128,Quadratic Discriminant Analysis,0.0028460025787353516,194139
129,Quadratic Discriminant Analysis,0.0032567977905273438,194139
130,Quadratic Discriminant Analysis,0.0036263465881347656,194139
131,Quadratic Discriminant Analysis,0.008271932601928711,194139
132,Quadratic Discriminant Analysis,0.0027523040771484375,254787
133,Quadratic Discriminant Analysis,0.0035810470581054688,254787
134,Quadratic Discriminant Analysis,0.003790616989135742,254787
135,Quadratic Discriminant Analysis,0.002855062484741211,254787
136,Quadratic Discriminant Analysis,0.0077228546142578125,254787
137,Quadratic Discriminant Analysis,0.00648808479309082,254787
138,Quadratic Discriminant Analysis,0.003791332244873047,369699
139,Quadratic Discriminant Analysis,0.009896039962768555,369699
140,Quadratic Discriminant Analysis,0.003079652786254883,369699
